title,url,date_parsed,topic,topic_label,embedding_x,embedding_y
AI framework for multidisease detection via retinal imaging,https://www.nature.com/articles/s41591-026-04359-w,2026-05-04 07:37:05+00:00,9,"Segmentation, Segment, Vision",1.4730221,7.512684
Pan-cancer virtual spatial transcriptomics from routine histology with Phoenix,https://www.biorxiv.org/content/10.64898/2026.04.25.720812,2026-05-04 11:59:28+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.3809218,7.926285
Linking spatial biology and clinical histology via Haiku,https://arxiv.org/html/2605.00925,2026-05-05 07:51:30+00:00,2,"Human, Cell, Atlas",3.324408,7.65352
OptimusKG: Unifying biomedical knowledge in a modern multimodal graph,https://arxiv.org/abs/2604.27269,2026-05-06 06:55:32+00:00,11,"Model, Ai, Data",1.1279705,7.5339894
How to design effective scientific figures,https://www.nature.com/articles/s41562-026-02466-9,2026-05-08 12:49:21+00:00,11,"Model, Ai, Data",1.1007167,8.4196415
"IBDome: An integrated molecular, histopathological, and clinical atlas of inflammatory bowel diseases",https://www.biorxiv.org/content/10.1101/2025.03.26.645544v2,2026-05-11 06:00:00+00:00,10,"Histopathology, Images, Learning",5.142041,9.056768
Dynamics of genetic and somatic trade-offs in ageing and mortality,https://www.nature.com/articles/s41586-026-10407-9#Abs1,2026-04-24 09:22:24+00:00,14,"Aging, Age, Lifespan",7.494597,7.639568
A 3D morphogenetic blueprint for metastatic outgrowth in breast cancer,https://www.cell.com/cell/fulltext/S0092-8674(26)00276-X,2026-04-27 07:49:15+00:00,19,"Cancer, Tumor, Spatial",3.8810005,10.549749
VitaminP: cross-modal learning enables whole-cell segmentation from routine histology,https://arxiv.org/pdf/2604.23799,2026-04-28 08:57:18+00:00,10,"Histopathology, Images, Learning",2.4517562,6.914326
An agentic framework for autonomous scientific discovery in cancer pathology,https://www.nature.com/articles/s41591-026-04357-y,2026-04-30 04:59:52+00:00,1,"Discovery, Drug, Ai",1.8272604,6.9145517
annbatch unlocks terabyte-scale training of biological data in anndata,https://arxiv.org/abs/2604.01949,2026-04-13 17:28:31+00:00,11,"Model, Ai, Data",2.2257826,9.832262
Understanding multicellular function and disease with human tissue-specific networks,https://www.nature.com/articles/ng.3259,2026-04-14 06:30:36+00:00,2,"Human, Cell, Atlas",4.909462,8.700086
Whole organism 3D mapping reveals universal branching topology and biophysical optimization governs vascular and nervous system development,https://www.biorxiv.org/content/10.64898/2026.04.10.717729v1,2026-04-15 17:05:18+00:00,2,"Human, Cell, Atlas",2.650416,9.83858
Tissue morphology predicts telomere shortening in human tissues,https://doi.org/10.1016/j.crmeth.2026.101336,2026-04-16 09:04:00+00:00,0,"Telomere, Telomere length, Length",6.375044,6.387821
95% of Experimental Life-Science Papers in Three Months of Nature Used Hypothesis Testing Without Justifying Sample Sizes,https://bmc-compbio.github.io/underpowered/,2026-04-17 14:42:59+00:00,11,"Model, Ai, Data",7.2562127,7.342478
A spatial atlas of the healthy human liver from live donors,https://www.nature.com/articles/s41586-026-10377-y,2026-04-17 15:35:25+00:00,2,"Human, Cell, Atlas",3.06634,6.53669
MOOZY: A Patient-First Foundation Model for Computational Pathology,https://github.com/AtlasAnalyticsLab/MOOZY,2026-04-01 14:37:50+00:00,18,"Pathology, Foundation, Foundation model",1.0474657,5.6476564
CytoSyn: a Foundation Diffusion Model for Histopathology -- Tech Report,https://arxiv.org/abs/2603.18089,2026-04-01 14:39:23+00:00,10,"Histopathology, Images, Learning",2.6703858,7.079282
Functional hierarchy of the human neocortex across the lifespan,https://www.nature.com/articles/s41586-026-10219-x,2026-04-01 14:40:29+00:00,14,"Aging, Age, Lifespan",8.165989,8.054254
MIPHEI-ViT: Multiplex Immunofluorescence Prediction from H&E Images using ViT Foundation Models,https://arxiv.org/abs/2505.10294,2026-04-01 14:41:56+00:00,16,"Imaging, Cell, Multiplexed",2.6491761,7.484886
p16High-expressing immune cells control disease tolerance as a defense and health span-extending strategy,https://www.cell.com/immunity/abstract/S1074-7613(26)00083-X,2026-04-02 07:37:27+00:00,5,"Aging, Ageing, Tissue",6.1724696,9.192293
tracel-ai/burn: a next generation tensor library and Deep Learning Framework,https://github.com/tracel-ai/burn,2026-04-02 07:57:37+00:00,11,"Model, Ai, Data",1.0048157,7.369338
Generative machine learning unlocks the first proteome-wide image of human cells,https://www.biorxiv.org/content/10.64898/2026.03.31.715748,2026-04-07 06:00:00+00:00,2,"Human, Cell, Atlas",3.4405732,9.239459
scAgeClock: a single-cell transcriptome-based human aging clock model using gated multi-head attention neural networks,https://www.nature.com/articles/s41514-026-00379-5,2026-04-08 07:58:32+00:00,12,"Aging, Clocks, Clock",8.642413,8.2570505
PRET is a few-shot system for pan-cancer recognition without example training,https://doi.org/10.1038/s43018-026-01141-2,2026-04-10 11:04:14+00:00,10,"Histopathology, Images, Learning",2.4071138,6.069188
Adapting a Pre-trained Single-Cell Foundation Model to Spatial Gene Expression Generation from Histology Images,https://arxiv.org/pdf/2603.19766,2026-03-26 11:55:54+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.2611613,7.174609
Single-cell spatial transcriptomic analysis of human skin anatomy,https://www.nature.com/articles/s41588-026-02552-8,2026-03-26 15:29:59+00:00,3,"Single, Single cell, Cell",4.5688076,9.041946
Single-cell atlas of human lung aging identifies cell type dyssynchrony and increased transcriptional entropy,https://www.nature.com/articles/s41467-026-68810-9,2026-03-27 12:47:48+00:00,8,"Senescence, Senescent, Cell",7.466766,9.064179
Reimagining systematic anatomy: The conclusion of the quartet,https://onlinelibrary.wiley.com/doi/10.1002/ca.23824,2026-03-27 15:37:56+00:00,2,"Human, Cell, Atlas",2.3834136,9.136851
Mixture of Mini Experts: Overcoming the Linear Layer Bottleneck in Multiple Instance Learning,https://www.linkedin.com/posts/faisalmmd_excited-to-share-our-latest-work-mixture-share-7443299569691623425-ymMK,2026-03-27 17:40:39+00:00,11,"Model, Ai, Data",0.98508465,6.7746496
Toward Computationally Complete Spatial Omics,https://www.biorxiv.org/content/10.64898/2026.03.03.709303v1.full,2026-03-29 11:38:31+00:00,15,"Spatial omics, Spatial, Omics",1.8359077,10.541495
Intestinal interoceptive dysfunction drives age-associated cognitive decline,https://www.nature.com/articles/s41586-026-10191-6,2026-03-12 07:48:11+00:00,14,"Aging, Age, Lifespan",8.3322735,7.528905
HistoGWAS: An AI Framework for Automated and Interpretable Genetic Analysis of Tissue Phenotypes,https://www.biorxiv.org/content/10.1101/2024.06.09.597752v3.full,2026-03-16 07:00:00+00:00,17,"Genetic, Risk, Gene",3.4984915,6.7510595
HistoAtlas: A Pan-Cancer Morphology Atlas Linking Histomics to Molecular Programs and Clinical Outcomes,https://arxiv.org/pdf/2603.16587,2026-03-18 07:55:39+00:00,10,"Histopathology, Images, Learning",4.0133686,9.750805
Whole-organ and whole-body 3D atlases enable cellome-wide profiling,https://doi.org/10.1016/j.cell.2025.12.057,2026-03-23 07:01:53+00:00,2,"Human, Cell, Atlas",2.271937,9.198907
MuViT: Multi-Resolution Vision Transformers for Learning Across Scales in Microscopy,https://arxiv.org/abs/2602.24222,2026-03-05 09:48:08+00:00,9,"Segmentation, Segment, Vision",1.4078003,8.187609
Ten mouse organs proteome and metabolome atlas from adult to aging,https://link.springer.com/article/10.1186/s13073-025-01535-4,2026-03-09 07:00:00+00:00,5,"Aging, Ageing, Tissue",8.181026,8.502603
TransBrain: a computational framework for translating brain-wide phenotypes between humans and mice,https://www.nature.com/articles/s41592-025-02961-3,2026-03-11 07:58:36+00:00,17,"Genetic, Risk, Gene",5.1431756,7.251576
Estropausal gut microbiota transplant improves measures of ovarian function in adult mice,https://www.nature.com/articles/s43587-026-01069-3,2026-03-11 08:01:32+00:00,5,"Aging, Ageing, Tissue",6.72997,8.230573
"imAgeScore, a Cell Painting-Based Predictor of Cellular Age for High-throughput Drug Screening Applications",https://www.biorxiv.org/content/10.64898/2026.03.06.710056v2,2026-03-11 08:36:55+00:00,16,"Imaging, Cell, Multiplexed",2.5465095,8.650734
Simultaneous spatial transcriptomics and morphology profiling as tools to explore how microglia change with age,https://www.nature.com/articles/s43587-026-01089-z,2026-03-11 10:12:29+00:00,5,"Aging, Ageing, Tissue",8.560891,7.653316
Ageing promotes metastasis via activation of the integrated stress response,https://www.nature.com/articles/s41586-026-10216-0,2026-03-12 07:45:05+00:00,5,"Aging, Ageing, Tissue",7.5658965,8.90532
Revisiting the blueprint for an interpretable virtual cell,https://www.nature.com/articles/s41576-026-00940-8,2026-02-27 06:08:04+00:00,16,"Imaging, Cell, Multiplexed",1.6713684,8.401796
3D-Guided Scalable Flow Matching for Generating Volumetric Tissue Spatial Transcriptomics from Serial Histology,https://arxiv.org/html/2511.14613v2,2026-02-27 17:00:02+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.5333204,8.302847
Confounding factors and biases abound when predicting molecular biomarkers from histological images,https://www.nature.com/articles/s41551-026-01616-8,2026-03-04 07:00:00+00:00,10,"Histopathology, Images, Learning",3.0896418,6.810168
Foundation model for cancer imaging biomarkers,https://www.nature.com/articles/s42256-024-00807-9?fromPaywallRec=false,2026-03-04 07:00:00+00:00,18,"Pathology, Foundation, Foundation model",1.0440539,6.2005124
GrapHist: Graph Self-Supervised Learning for Histopathology,https://arxiv.org/html/2603.00143,2026-03-04 07:00:00+00:00,10,"Histopathology, Images, Learning",2.3753202,6.977158
Circulating Cell Type Senescence Signatures Reveal High-Resolution Health Status and  2 Trajectories in Human Longitudinal Studies,https://www.medrxiv.org/content/10.64898/2026.02.06.26345739v1.full.pdf,2026-02-10 18:20:55+00:00,8,"Senescence, Senescent, Cell",7.3236895,9.450476
Deep Label Distribution Learning for Leveraging Image Ambiguity,https://www.semanticscholar.org/paper/Deep-Label-Distribution-Learning-With-Label-Gao-Xing/02567fd428a675ca91a0c6786f47f3e35881bcbd,2026-02-17 16:12:16+00:00,6,"Deep, Deep learning, Learning",1.4082131,7.92058
Towards Spatial Transcriptomics-driven Pathology Foundation Models,https://arxiv.org/abs/2602.14177,2026-02-23 11:26:47+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.951927,8.155732
Cellular Aging Signatures in the Plasma Proteome 2 Record Human Health and Disease,https://www.biorxiv.org/content/10.64898/2026.02.10.704909v1.full.pdf,2026-02-25 14:56:48+00:00,12,"Aging, Clocks, Clock",8.238543,8.42337
An atlas of human histological diversity,https://www.biorxiv.org/content/10.64898/2026.01.30.702249v1.full.pdf,2026-02-03 09:06:49+00:00,2,"Human, Cell, Atlas",2.6510935,9.248348
PaperBanana: Automating Academic Illustration for AI Scientists,https://arxiv.org/pdf/2601.23265,2026-02-04 10:13:57+00:00,11,"Model, Ai, Data",0.8974024,7.606946
HistoSweep enables cellular-resolution tissue quality control for gigapixel images in digital pathology and spatial omics,https://www.biorxiv.org/content/10.64898/2026.01.30.702675,2026-02-04 14:49:25+00:00,16,"Imaging, Cell, Multiplexed",2.7253463,7.581922
Unifying the genetic landscape of common and rare diseases via latent neighborhoods,https://www.biorxiv.org/content/10.64898/2026.01.27.701945v1,2026-02-04 21:34:37+00:00,17,"Genetic, Risk, Gene",5.0378304,6.459605
AtlasPatch: An Efficient and Scalable Tool for Whole Slide Image Preprocessing in Computational Pathology,https://arxiv.org/abs/2602.03998,2026-02-05 16:09:25+00:00,18,"Pathology, Foundation, Foundation model",1.3926075,6.1677303
"A lightweight, ultrafast and general embedding framework for large-scale spatial omics data",https://www.biorxiv.org/content/10.64898/2026.02.04.703814,2026-02-09 07:00:00+00:00,15,"Spatial omics, Spatial, Omics",1.7610333,10.513989
A foundation model for continuous glucose monitoring data,https://www.nature.com/articles/s41586-025-09925-9,2026-01-21 16:31:20+00:00,11,"Model, Ai, Data",0.90012926,6.4941077
A multimodal sleep foundation model for disease prediction,https://www.nature.com/articles/s41591-025-04133-4,2026-01-21 16:31:46+00:00,11,"Model, Ai, Data",0.7542537,6.3164883
A Foundational Generative Model for Cross-platform Unified Enhancement of Spatial Transcriptomics,https://github.com/LHY1007/FOCUS/,2026-01-22 13:19:05+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.9915185,8.0409775
CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202513210,2026-01-22 13:21:39+00:00,3,"Single, Single cell, Cell",4.0966697,8.767497
STPath: a generative foundation model for integrating spatial transcriptomics and whole-slide images,https://www.nature.com/articles/s41746-025-02020-3,2026-01-22 13:23:08+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.7477045,7.891665
VISTA-PATH: An interactive foundation model for pathology image segmentation and quantitative analysis in computational pathology,https://www.arxiv.org/abs/2601.16451,2026-01-27 09:14:49+00:00,18,"Pathology, Foundation, Foundation model",1.3763952,6.2082896
Heritability of intrinsic human life span is about 50% when confounding factors are addressed,https://www.science.org/doi/10.1126/science.aee3844,2026-01-29 22:35:15+00:00,14,"Aging, Age, Lifespan",7.5835238,7.5435014
High-parameter spatial multi-omics through histology-anchored integration,https://www.nature.com/articles/s41592-025-02926-6,2026-01-08 09:16:41+00:00,13,"Omics, Spatial, Spatial omics",2.4413576,10.430821
Advancing single-cell omics and cell-based therapeutics with quantum computing,https://www.nature.com/articles/s41580-025-00918-0,2026-01-09 12:10:13+00:00,13,"Omics, Spatial, Spatial omics",2.1476707,9.785591
Combining Graph Neural Network and Mamba to Capture Local and Global Tissue Spatial Relationships in Whole Slide Images,https://arxiv.org/abs/2406.04377,2026-01-09 16:01:44+00:00,4,"Graph, Networks, Graph neural",1.4828895,6.5645566
HEDeST: An Integrative Approach to Enhance Spatial Transcriptomic Deconvolution with Histology,https://www.biorxiv.org/content/10.64898/2026.01.06.697922,2026-01-12 11:38:59+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.6202688,7.661172
AI-enabled virtual spatial proteomics from histopathology for interpretable biomarker discovery in lung cancer,https://www.nature.com/articles/s41591-025-04060-4,2026-01-16 10:43:59+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.0735626,7.789379
SpaCEy: Discovery of Functional Spatial Tissue Patterns by Association with Clinical Features Using Explainable Graph Neural Networks,https://www.biorxiv.org/content/10.64898/2025.12.12.693857,2025-12-16 08:52:33+00:00,4,"Graph, Networks, Graph neural",1.5810858,9.361588
A full life cycle biological clock based on routine clinical data and its impact in health and diseases,https://www.nature.com/articles/s41591-025-04006-w ,2025-12-16 14:53:26+00:00,12,"Aging, Clocks, Clock",8.609788,8.328708
Multi-tissue spatial transcriptomics reveals biological age hotspots in mouse and human aging,https://www.biorxiv.org/content/10.1101/2025.11.23.689860,2025-12-01 08:26:50+00:00,5,"Aging, Ageing, Tissue",7.7362967,8.664891
PULSAR: a Foundation Model for Multi-scale and Multicellular Biology,https://www.biorxiv.org/content/10.1101/2025.11.24.685470 ,2025-12-01 08:27:15+00:00,2,"Human, Cell, Atlas",3.753286,8.903528
Digital Spatial Pathway Mapping Reveals Prognostic Tumor States in Head and Neck Cancer,https://www.biorxiv.org/content/10.1101/2025.11.24.689710 ,2025-12-01 08:29:16+00:00,19,"Cancer, Tumor, Spatial",4.170235,10.308139
Single-cell phenomics through integrated imaging and molecular profiling,https://www.biorxiv.org/content/10.1101/2025.11.28.690954v1 ,2025-12-03 07:00:00+00:00,16,"Imaging, Cell, Multiplexed",2.4979544,8.587103
"Refining the generation, interpretation and application of multi-organ, multi-omics biological aging clocks",https://www.nature.com/articles/s43587-025-00928-9 ,2025-11-18 10:58:49+00:00,12,"Aging, Clocks, Clock",8.595036,8.227579
Multiplexed ultrasound imaging of gene expression,https://www.nature.com/articles/s41592-025-02825-w,2025-11-19 18:26:52+00:00,16,"Imaging, Cell, Multiplexed",2.8408341,8.106522
A transcriptomic atlas of astrocyte heterogeneity across space and time in mouse and marmoset,https://www.cell.com/neuron/fulltext/S0896-6273(25)00695-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0896627325006956%3Fshowall%3Dtrue,2025-11-24 07:37:40+00:00,0,"Telomere, Telomere length, Length",4.4670362,8.488138
Adaptive Multi-Scale Integration Unlocks Robust Cell Annotation in Histopathology Images,https://arxiv.org/abs/2511.13586v2,2025-11-24 10:21:29+00:00,10,"Histopathology, Images, Learning",2.4561198,7.0503283
Organ-specific proteomic aging clocks predict disease and longevity across diverse populations,https://www.nature.com/articles/s43587-025-01016-8,2025-11-26 16:41:41+00:00,12,"Aging, Clocks, Clock",8.355385,8.2137985
A deep learning-based multiscale integration of spatial omics with tumor morphology,https://www.nature.com/articles/s41467-025-66691-y,2025-11-27 09:17:00+00:00,13,"Omics, Spatial, Spatial omics",2.3577619,10.316518
NOVA: An Agentic Framework for Automated Histopathology Analysis and Discovery,https://arxiv.org/abs/2511.11324,2025-11-27 14:27:24+00:00,10,"Histopathology, Images, Learning",2.559239,7.1254187
GTEx pathological reports,https://meridian.allenpress.com/aplm/article/149/3/217/500905/Histologic-and-Quality-Assessment-of-Genotype,2025-11-07 15:36:00+00:00,17,"Genetic, Risk, Gene",4.484499,6.5464797
Benchmarking foundation models as feature extractors for weakly supervised computational pathology,https://www.nature.com/articles/s41551-025-01516-3,2025-11-08 07:55:00+00:00,18,"Pathology, Foundation, Foundation model",1.3478998,5.9649143
Multilingualism protects against accelerated aging in cross-sectional and longitudinal analyses of 27 European countries,https://www.nature.com/articles/s43587-025-01000-2,2025-11-10 16:20:24+00:00,14,"Aging, Age, Lifespan",7.8728213,7.7325153
"PySlyde: A Lightweight, Open-Source Toolkit for Pathology Preprocessing",https://arxiv.org/abs/2511.05183v1 ,2025-11-10 16:22:46+00:00,18,"Pathology, Foundation, Foundation model",1.2861712,5.8355513
A spatial representation of information underlies probabilistic computation in cells,https://www.biorxiv.org/content/10.1101/2025.02.12.637580v2?ct=,2025-11-12 09:47:18+00:00,15,"Spatial omics, Spatial, Omics",3.5383072,9.171272
Mapping and reprogramming tissue microenvironments with MintFlow,https://www.biorxiv.org/content/10.1101/2025.06.24.661094v2,2025-11-13 16:01:52+00:00,16,"Imaging, Cell, Multiplexed",3.453272,9.628843
Aligning machine and human visual representations across abstraction levels,https://www.nature.com/articles/s41586-025-09631-6,2025-11-17 13:06:47+00:00,11,"Model, Ai, Data",0.7990413,7.730927
Emulating human-like adaptive vision for efficient and flexible machine visual perception,https://www.nature.com/articles/s42256-025-01130-7,2025-11-17 13:12:52+00:00,9,"Segmentation, Segment, Vision",1.0062072,7.995974
High-resolution imaging mass cytometry to map subcellular structures,https://www.nature.com/articles/s41592-025-02889-8,2025-10-31 12:55:48+00:00,16,"Imaging, Cell, Multiplexed",2.5372586,8.239414
Nicheformer: a foundation model for single-cell and spatial omics,https://www.nature.com/articles/s41592-025-02814-z,2025-10-31 12:57:22+00:00,13,"Omics, Spatial, Spatial omics",2.3213856,10.12418
SurGen: 1020 H&E-stained whole-slide images with survival and genetic markers,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giaf086/8277208,2025-10-31 13:15:39+00:00,10,"Histopathology, Images, Learning",1.4782765,6.273893
High-plex spatial RNA imaging in one round with conventional microscopes using color-intensity barcodes,https://www.nature.com/articles/s41587-025-02883-7,2025-11-02 17:45:55+00:00,16,"Imaging, Cell, Multiplexed",3.440868,8.263691
Why Foundation Models in Pathology Are Failing,https://arxiv.org/abs/2510.23807v2,2025-11-03 09:45:31+00:00,18,"Pathology, Foundation, Foundation model",1.1207775,5.9129496
Automated generation of personalized trajectories of aging phenotypes with DyViA-GAN,https://www.biorxiv.org/content/10.1101/2025.08.22.671831v3 ,2025-11-04 17:14:53+00:00,14,"Aging, Age, Lifespan",7.5768533,8.065573
"MERFISH+, a large-scale, multi-omics spatial technology resolves the molecular holograms of the 3D human developing heart",https://www.biorxiv.org/content/10.1101/2025.11.02.686137v1.full.pdf,2025-11-06 12:16:24+00:00,13,"Omics, Spatial, Spatial omics",2.5106697,10.460188
A multimodal whole-slide foundation model for pathology,https://www.nature.com/articles/s41591-025-03982-3,2025-11-07 07:51:37+00:00,18,"Pathology, Foundation, Foundation model",0.9939987,5.8892765
A probabilistic histological atlas of the human brain for MRI segmentation,https://www.nature.com/articles/s41586-025-09708-2 ,2025-11-07 12:49:57+00:00,9,"Segmentation, Segment, Vision",1.9991503,6.9002304
The normal human lymph node cell classification and landscape defined by high-dimensional spatial proteomic.,https://www.biorxiv.org/content/10.1101/2025.10.19.683341,2025-10-21 08:24:52+00:00,19,"Cancer, Tumor, Spatial",4.0856223,9.768491
Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney,https://www.biorxiv.org/content/10.1101/2025.09.26.678707v1 ,2025-10-23 08:48:39+00:00,2,"Human, Cell, Atlas",5.6338325,8.580509
Tissue and cellular spatiotemporal dynamics in colon aging,https://www.nature.com/articles/s41587-025-02830-6,2025-10-23 11:05:30+00:00,5,"Aging, Ageing, Tissue",7.1962056,8.734965
Web engine for tumor pathology image retrievals on massive scales,https://www.biorxiv.org/content/10.1101/2025.10.25.684566v1,2025-10-27 11:55:56+00:00,10,"Histopathology, Images, Learning",1.595884,6.1352463
Brain-age models with lower age prediction accuracy have higher sensitivity for disease detection,https://www.biorxiv.org/content/10.1101/2024.03.28.587212v2.full.pdf,2025-10-27 12:09:55+00:00,14,"Aging, Age, Lifespan",8.101712,7.0778303
Do Transformers and CNNs Learn Different Concepts of Brain Age?,https://onlinelibrary.wiley.com/doi/10.1002/hbm.70243,2025-10-27 12:34:12+00:00,14,"Aging, Age, Lifespan",8.434136,7.312539
ROSIE-Enabled Spatial Mapping Reveals Architectural Fragmentation and Immune Reprogramming in Lung Adenocarcinoma Evolution,https://www.biorxiv.org/content/10.1101/2025.10.23.684213v1 ,2025-10-28 11:13:31+00:00,19,"Cancer, Tumor, Spatial",4.2753954,10.528544
Automated classification of cellular expression in multiplexed imaging data with Nimbus,https://www.nature.com/articles/s41592-025-02826-9,2025-10-29 08:53:41+00:00,16,"Imaging, Cell, Multiplexed",2.5586965,8.244654
Accurate tiling of spatial single-cell data with Tessera,https://www.biorxiv.org/content/10.1101/2025.01.17.633630,2025-10-13 06:00:00+00:00,13,"Omics, Spatial, Spatial omics",1.6774968,8.904705
Powerful and accurate case-control analysis of spatial molecular data,https://www.biorxiv.org/content/10.1101/2025.02.07.637149,2025-10-13 06:00:00+00:00,7,"Spatial, Transcriptomics, Spatial transcriptomics",3.9676692,7.979186
Stage-resolved Spatial Multi-omics Reveals Myeloid Niches in Human Atherosclerotic Plaques,https://www.biorxiv.org/content/10.1101/2025.10.09.681522,2025-10-13 06:00:00+00:00,13,"Omics, Spatial, Spatial omics",2.8338857,10.5535755
Multimodal cell atlas of the ageing human skeletal muscle,https://www.nature.com/articles/s41586-024-07348-6,2025-10-14 06:00:00+00:00,2,"Human, Cell, Atlas",7.029537,8.868775
Analysis of anatomical multi-cellular structures from spatial omics data using sosta,https://www.biorxiv.org/content/10.1101/2025.10.13.682065,2025-10-15 10:48:03+00:00,13,"Omics, Spatial, Spatial omics",2.273857,10.419451
MRI-based multi-organ clocks for healthy aging and disease assessment,https://www.nature.com/articles/s41591-025-03999-8,2025-10-17 08:46:59+00:00,12,"Aging, Clocks, Clock",8.661399,8.037548
Spatial architecture of development and disease,https://www-nature-com.ez.srv.meduniwien.ac.at/articles/s41576-025-00892-5,2025-10-06 10:58:33+00:00,15,"Spatial omics, Spatial, Omics",4.535758,8.158384
Machine Learning Models Based on Histological Images from Healthy Donors Identify ImageQTLs and Predict Chronological Age,https://doi.org/10.1101/2025.09.04.674328,2025-10-06 11:44:09+00:00,10,"Histopathology, Images, Learning",3.400065,6.480793
Comparative analysis of human and mouse ovaries across age,https://www.science.org/doi/full/10.1126/science.adx0659?af=R,2025-10-10 08:52:55+00:00,14,"Aging, Age, Lifespan",6.759923,8.200653
Exploring endothelial cell environments across organs in spatially resolved omics data,https://www.biorxiv.org/content/10.1101/2025.09.23.678129v1,2025-09-29 06:00:00+00:00,13,"Omics, Spatial, Spatial omics",2.620046,10.528495
Highly multiplexed 3D profiling of cell states and immune niches in human tumors,https://www.nature.com/articles/s41592-025-02824-x,2025-10-01 09:12:58+00:00,19,"Cancer, Tumor, Spatial",3.7610552,10.2832
BiaPy: accessible deep learning on bioimages,https://doi.org/10.1038/s41592-025-02699-y,2025-10-02 07:00:46+00:00,6,"Deep, Deep learning, Learning",1.4292172,7.717639
PathQC: Determining Molecular and Physical Integrity of Tissues from Histopathological Slides,https://www.biorxiv.org/content/10.1101/2025.09.29.679347v1.full.pdf,2025-10-02 10:49:46+00:00,10,"Histopathology, Images, Learning",2.842864,7.247224
"Mapping Structural Aging across Human Tissues reveals tissue-specific trajectories, coordinated deterioration and genetic determinants",https://www.biorxiv.org/content/10.1101/2025.09.29.679316v1.full.pdf,2025-10-02 10:55:46+00:00,14,"Aging, Age, Lifespan",7.5593977,8.448483
Learning the natural history of human disease with generative transformers,https://www.nature.com/articles/s41586-025-09529-3,2025-09-18 20:23:31+00:00,11,"Model, Ai, Data",1.8735911,5.930371
Aging by the clock and yet without a program,https://www.nature.com/articles/s43587-025-00975-2,2025-09-19 13:46:50+00:00,12,"Aging, Clocks, Clock",8.805116,8.078302
